EventType,Attack,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10
HUANG_PCN,false,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0,523936,141245,0.0
HUANG_PCN,false,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0,555844,131484,0.0
HUANG_PCN,false,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0,463170,219209,0.0
HUANG_PCN,false,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0,434888,302908,0.0
HUANG_PCN,false,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0,296390,335815,0.0
HUANG_PCN,false,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0,127338,316130,0.0
HUANG_PCN,false,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0,396558,54952,0.0
HUANG_PCN,false,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0,112833,313204,0.0
HUANG_PCN,false,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0,326861,151882,0.0
HUANG_PCN,false,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0,291273,196374,0.0
